RP/0/RP0/CPU0:EBD-BHA-MPL-LTE-PE-RTR-34-123# sh ip int br
Bundle-Ether2.3169             10.117.103.158  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.3170             10.117.119.158  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.3171             10.117.7.158    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.3221             10.117.102.206  Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether2.3222             10.117.118.206  Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.3223             10.117.6.206    Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether2.3327             10.68.137.222   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.3328             10.68.153.222   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.3329             10.68.169.222   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.3363             10.64.70.14     Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.3379             10.64.63.142    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.3415             10.39.132.174   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.3416             10.39.164.174   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.3417             10.39.148.174   Up              Down     NASIK-LTE-OnM-Management-M
